Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend
afe:209,gaz:2044780,nm:ar,nm:heracleia_thracica,nm:sestertius,L/D//COMOB,Vs.: Kranz,11.54,18.2,21.13,1,11.0,1,1,HADRIANVS AVG COS III PPP,Abdruck das,5.0,2.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:210,gaz:2049594,nm:ar,nm:tripolis_phoenicia,nm:semis,-/-//ANT(Delta)*,?,1.14,28.6,22.8,1,11.0,1,1,IMP CAESAR TRAIANVS HADRIANVS AVG,[IV]NONI R[EGINAE].,1.0,5.0,3.0,1.0,...CO - NS...
afe:211,gaz:2137454,nm:av,nm:alexandreia_egypt,nm:solidus,-/XI//-,CAESAR,15.98,21.86,20.5,1,12.0,1,1,DN [?] IVII-TIVIII II VC,DAIVS AVCVSTI,3.0,5.0,4.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:212,gaz:2049603,nm:av,nm:carthage,nm:follis,-/-//CONOB,SE (Wertz 168.2),6.78,14.7,21.24,1,2.0,1,1,Kopf n. r. m. Lrbkr. AD(spiegelverkehrt)NIVONI-UDDOVII?(speigelverkehrt)D(spiegelverkehrt).,RS: OP [   ]| weibl. F. sitzend n. r.,5.0,3.0,4.0,1.0,...CO - NS...
afe:213,gaz:2044319,nm:av,nm:laodiceia_ad_mare,nm:miliarensis,-/-//PCON,Vs.: Kranz,4.56,18.3,20.5,1,8.0,1,1,AVRELIVS CAESAR [AVG PII F COS].,CONSECRATIO.,4.0,5.0,3.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:214,gaz:2050022,nm:av,nm:laodiceia_ad_mare,nm:siliqua,-/-//SMAL(Gamma),TIA_V,1.24,20.8,21.8,1,7.0,1,1,Drapierung an linker Schulter.,[P M TR] P COS II FEL AVG.,4.0,4.0,2.0,4.0,...CO - NS...
afe:215,gaz:2044751,nm:ar,nm:londinium,nm:follis,L/B//-,?,2.67,32.3,16.0,1,5.0,1,1,[ ]M[  ]NTON[   ].,,4.0,3.0,2.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:216,gaz:2050220,nm:billon,nm:heracleia_thracica,nm:semis,-/-//Z,?,1.88,16.9,20.89,1,7.0,1,1,drapierte Büste.,TR POT COS II.,5.0,1.0,3.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:217,gaz:2049906,nm:ae,nm:alexandreia_egypt,nm:antoninianus,?/-//.SIS.,?,3.83,17.3,21.16,1,5.0,1,1,Punzen,[  ]AXIME[  ].,5.0,3.0,3.0,3.0,...CO - NS...
afe:218,gaz:2044675,nm:av,nm:commagene,nm:denarius,L/D//COMOB,Vs.: Kranz,19.9,18.8,20.4,1,1.0,1,1,HADRIANVS-AVGCOSIIIPP.,Legendenbruchstück ...IVS ... erkennbar,5.0,5.0,5.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:219,gaz:2044751,nm:billon,nm:carthage,nm:drachma,-/-//TRS,TIA_V,1.66,22.43,1.6,1,2.0,1,1,[M] ANTONINVS AVG TR P XXIII.,Vs: behlmte Büste n. r. CONSTAN-TIN[   ]SMIIXA[ ]. Rs: Zwei Viktorien halten Schild über Altar. VIVTORI[   ]. Im Schilde ?OT/P?-,2.0,2.0,3.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:220,gaz:2049594,nm:av,nm:emerita,nm:quadrans,-/-//TRPZweig,TIA_V,4.87,20.4,19.0,1,11.0,1,1,IMP TRAIANO AVG GER DAC P M TR P COS V P P,"COS V PP SPQR OPTIMO PRINC, Minerva sitzend",3.0,3.0,5.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:221,gaz:2044341,nm:billon,nm:narbo,nm:sestertius,-/-//MP,TIA_V,3.02,17.4,21.8,1,7.0,1,1,Drapierung an linker Schulter.,XCDIIVS DNI T(?)DC (0) SII,1.0,4.0,2.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:222,gaz:2049900,nm:ar,nm:antiocheia_syria,nm:aureus,-/-//(C on TRP),TIA_V,4.02,17.9,20.5,1,2.0,1,1,ANTONINVS [AVG PIVS P P].,Vs: behlmte Büste n. r. CONSTAN-TIN[   ]SMIIXA[ ]. Rs: Zwei Viktorien halten Schild über Altar. VIVTORI[   ]. Im Schilde ?OT/P?-,1.0,5.0,2.0,4.0,...CO - NS...
afe:223,gaz:2315108,nm:ar,nm:cyzicus,nm:quadrans,-/-//SMN,?,20.41,28.6,19.0,1,7.0,1,1,GALLIENVS P F AVG,Vs. und Rs. zeigen Kopf.,2.0,5.0,3.0,1.0,...CO - NS...
afe:224,gaz:2117972,nm:ar,nm:laodiceia_ad_mare,nm:roman_medallion,-/-//?,TIA_V,4.5,11.0,21.0,1,6.0,1,1,IMP CAE L SEP SEV PERT AVG COS II,Vs. und Rs. zeigen Kopf.,4.0,1.0,3.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:225,gaz:2044884,nm:ar,nm:emisa,nm:ae1,-/-//TRS(Punkt),SE (Wertz 168.2),3.07,1.6,21.4,1,6.0,1,1,bärt. Kopf n. r. [.  ]P.,CONG AVG VIIII COS IIII.,4.0,5.0,1.0,2.0,...CO - NS...
afe:226,gaz:2044764,nm:billon,nm:ticinum,nm:miliarensis,-/-//TRS,Vs.: Kranz,4.48,22.05,28.84,1,7.0,1,1,,RS: OP [   ]| weibl. F. sitzend n. r.,2.0,2.0,1.0,3.0,...CO - NS...
afe:227,gaz:2315108,nm:ae,nm:aquileia,nm:ae1,?/-//.SIS.,TIA_V,1.02,21.24,21.25,1,12.0,1,1,drap.Büste m. Krbkr. n. r. AVOVSO-IVSVIIVO.,einfaches Füllhorn.,0.0,5.0,4.0,3.0,...CO - NS...
afe:228,gaz:2044764,nm:ar,nm:constantinople,nm:dupondius,?/-//.SIS.,SE (Wertz 168.2),2.49,17.4,20.0,1,12.0,1,1,Kopf n. r. IMP CAES[  ]VES[  ] (unten rechts anfangend).,steh. Gestalt n. l. m. Füllhorn. AV[. ].,4.0,5.0,1.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:229,gaz:2117972,nm:ar,nm:emerita,nm:aureus,-/-//R(Zeichen)(Gamma),TIA_V,1.0,17.5,22.11,1,2.0,1,1,Drapierung am Schulteransatz.,weibl. Gestalt steht n. l. am Altar m. erhob. l. Arm.,1.0,3.0,2.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:230,gaz:2049900,nm:av,nm:caesaraugusta,nm:drachma,-/-//€SIS,?,27.75,15.0,21.4,1,8.0,1,1,ANTONINVS AVG PIVS P P TR P XV.,Rev. in einem ^Klumpen^ eingebacken,2.0,2.0,3.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:231,gaz:2048660,nm:ae,nm:siscia,nm:denarius,XI/-//-,CAESAR,19.14,21.43,21.31,1,6.0,1,1,Vs. drap. Büste n. r. Pseudobuchstaben.,Punkt über Lilie.,1.0,3.0,5.0,1.0,...CO - NS...
afe:232,gaz:2052804,nm:ar,nm:ravenna,nm:siliqua,-/-//C·A,CAESAR,1.64,19.1,20.5,1,1.0,1,1,[  ](CA)ESAR[  ].,"TR POT COS II CONCOR, Concordia sitzend mit Patera und Doppelfüllhorn.",5.0,0.0,1.0,5.0,...CO - NS...
afe:233,gaz:2052787,nm:billon,nm:mediolanum,nm:quinarius,T/F//PLN,?,11.5,17.7,21.24,1,8.0,1,1,AVRELIVS CAESAR [AVG PII F COS].,Nobilitas n. l.,0.0,0.0,3.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:234,gaz:2049750,nm:ae,nm:alexandreia_egypt,nm:as,-/-//CONS[ ],SE (Wertz 168.2),15.98,21.73,21.4,1,4.0,1,1,L VERVS AVG ARM PARTH MAX.,VICTORI-A AVCCC(Gamma),2.0,5.0,2.0,4.0,...CO - NS...
afe:235,gaz:2052777,nm:ar,nm:laodiceia_ad_mare,nm:double-sestertius,-/A//-,Vs.: Kranz,2.62,21.7,21.4,1,2.0,1,1,"CAESAR AVG F DOMITIANVS, Kopf r.",unkenntlich.,5.0,3.0,4.0,2.0,...CO - NS...
afe:236,gaz:2050220,nm:av,nm:commagene,nm:quinarius,-/-//TRPZweig,Vs.: Kranz,6.16,18.3,21.12,1,12.0,1,1,FAUSTINA AUGUSTA AUG PII F.,[C]O[S] IIII.,4.0,5.0,5.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:237,gaz:2050030,nm:av,nm:nicomedia,nm:ae3,-/-//P,SE (Wertz 168.2),3.49,18.8,21.24,1,11.0,1,1,HADRIANVS AVG COS III PPP,zum Teil keine Buchstaben des lateinischen Alphabets,3.0,0.0,5.0,5.0,...CO - NS...
afe:238,gaz:2049645,nm:ae,nm:lycia,nm:siliqua,-/-//COHO·,SE (Wertz 168.2),13.266,18.7,14.0,1,7.0,1,1,mit Ägis.,Fortuna Redux,0.0,1.0,1.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:239,gaz:2052958,nm:av,nm:siscia,nm:quinarius,-/-//T,?,3.34,19.4,22.43,1,6.0,1,1,Vs: behlmte Büste n. r. CONSTAN-TIN[   ]SMIIXA[ ]. Rs: Zwei Viktorien halten Schild über Altar. VIVTORI[   ]. Im Schilde ?OT/P?-,Vs. und Rs. zeigen Kopf.,0.0,1.0,2.0,5.0,...CO - NS...
afe:240,gaz:2044338,nm:billon,nm:berytus,nm:solidus,€(invers)/-//-,?,10.83,15.0,28.0,1,12.0,1,1,NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,Punkt am oberen Abschluss des Bogenornaments.,5.0,3.0,1.0,1.0,...CO - NS...
afe:241,gaz:2044912,nm:ar,nm:nicomedia,nm:roman_medallion,H/-//-,Vs.: Kranz,13.45,21.91,20.5,1,4.0,1,1,(...) FEL AVG (...),XCDIIVS DNI T(?)DC (0) SII,0.0,4.0,2.0,5.0,...CO - NS...
afe:242,gaz:2048597,nm:billon,nm:ostia,nm:double-sestertius,-/-//B,SE (Wertz 168.2),2.26,19.4,21.16,1,6.0,1,1,Kopf n. r. m. Strkr.,[AVGVSTA].,4.0,2.0,1.0,2.0,...CO - NS...
afe:243,gaz:2117972,nm:av,nm:laodiceia_ad_mare,nm:quarter-stater,-/?//ALE,Vs.: Kranz,24.64,11.0,18.6,1,8.0,1,1,[ ]M[  ]NTON[   ].,"sitzende weibliche Figur, l. Füllhorn, Umschrift ... COS II.",0.0,0.0,1.0,4.0,...CO - NS...
afe:244,gaz:2044319,nm:av,nm:commagene,nm:aureus,-/-//N,SE (Wertz 168.2),2.66,21.25,20.9,1,8.0,1,1,Kopf n. r. m. Strkr.,Ceres (?) steht n. l. m. Kornähren (?) und Zepter.,1.0,3.0,3.0,3.0,...CO - NS...
afe:245,gaz:2044318,nm:billon,nm:thessalonica,nm:ae1,L/Delta//-,Vs.: Kranz,20.68,30.8,22.8,1,8.0,1,1,FAVSTINAI AVCVIIID,[HILA]RIT[AS].,3.0,0.0,2.0,3.0,...CO - NS...
afe:246,gaz:2049601,nm:av,nm:nicomedia,nm:as,-/-//V *,SE (Wertz 168.2),20.2,20.8,21.12,1,2.0,1,1,FAVSTINA [AVGUSTA].,VOTA SOLV[     ].,2.0,2.0,2.0,5.0,...CO - NS...
afe:247,gaz:2048597,nm:billon,nm:rome,nm:stater,L/B//-,Vs.: Kranz,1.38,21.91,22.43,1,1.0,1,1,DIVA FAVSTINA PIA.,unkenntlich,4.0,5.0,3.0,3.0,...CO - NS...
afe:248,gaz:2049750,nm:billon,nm:aquileia,nm:follis,B/-//-,Vs.: Kranz,4.25,19.4,20.9,1,8.0,1,1,Kopf n. r. IMP CAES[  ]VES[  ] (unten rechts anfangend).,Pax,5.0,3.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:249,gaz:2044341,nm:ar,nm:colonia_patricia,nm:semis,-/-//TRS(Punkt),Vs.: Kranz,1.76,17.2,21.36,1,4.0,1,1,[  ]-FAV[  ]. Kopf n. r.,VOTIS-XXXX-VIVITIS-XX XX-OAS,5.0,4.0,3.0,1.0,...CO - NS...
afe:250,gaz:2044884,nm:ae,nm:nicomedia,nm:semis,-/-//QXXT,?,3.24,24.7,21.91,1,4.0,1,1,mit Ägis.,"Minerva mit Helm, drapiert n. r., mit Wurfspieß und rundem Schild, zu den Füßen r. Eule, l. COS, r. IIII",3.0,4.0,5.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:251,gaz:2044667,nm:billon,nm:colonia_patricia,nm:double-sestertius,-/-//V *,Vs.: Kranz,1.91,21.4,20.5,1,4.0,1,1,Büste mit Ägis.,st. weib. Figur n. l.,5.0,3.0,5.0,2.0,...CO - NS...
afe:252,gaz:2044675,nm:billon,nm:emisa,nm:as,XI__,SE (Wertz 168.2),9.41,1.8,21.4,1,2.0,1,1,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",PVD[ICITIA].,4.0,5.0,5.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:253,gaz:2048597,nm:ae,nm:aquileia,nm:solidus,-/-//TRPZweig,TIA_V,15.16,27.0,16.0,1,5.0,1,1,DN [?] IVII-TIVIII II VC,VOTIS-XXXX-VIVITIS-XX XX-OAS,5.0,0.0,2.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:254,gaz:2049740,nm:ar,nm:pella_macedon,nm:sestertius,-/-//ST,?,2.86,15.1,20.4,1,5.0,1,1,drap.Büste m. Krbkr. n. r. AVOVSO-IVSVIIVO.,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",1.0,0.0,2.0,2.0,...CO - NS...
afe:255,gaz:2048980,nm:billon,nm:arelate,nm:reduced_siliqua,-/-//SMNA,?,16.17,21.86,18.6,1,8.0,1,1,AVRELIVS CAESAR AVG P II [F].,Legendenbruchstück ...IVS ... erkennbar,4.0,5.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:256,gaz:2049906,nm:av,nm:alexandreia_egypt,nm:solidus,M/-//A[ ]I[  ]*,Vs.: Kranz,2.0,1.8,35.0,1,7.0,1,1,Legendenbruchstück ...IVS ... erkennbar,DIVO PIO.,3.0,4.0,3.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:257,gaz:2048597,nm:ar,nm:nicomedia,nm:quadrans,-/-//V *,SE (Wertz 168.2),9.5,22.05,21.43,1,11.0,1,1,"A[ YT KAIC] deltaOMITIANOC CEBACTOC gammaEPM, Kopf n. r.","sitzende weibliche Figur, l. Füllhorn, Umschrift ... COS II.",5.0,0.0,2.0,2.0,...CO - NS...
afe:258,gaz:2050007,nm:ar,nm:lugdunum,nm:ae1,-/-//R(Zeichen)B,?,24.18,1.6,21.43,1,7.0,1,1,RS: OP [   ]| weibl. F. sitzend n. r.,sitz. Gestalt n. l.,2.0,2.0,3.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:259,gaz:2052804,nm:ae,nm:lugdunum,nm:miliarensis,-/-//concord,?,22.39,20.4,20.89,1,5.0,1,1,"A[ YT KAIC] deltaOMITIANOC CEBACTOC gammaEPM, Kopf n. r.","Reiter n. l., davor vierspeichiges Rad",1.0,0.0,2.0,4.0,...CO - NS...
afe:260,gaz:2049906,nm:billon,nm:antiocheia_syria,nm:stater,-/-//TROBS,Vs.: Kranz,1.78,17.3,21.59,1,5.0,1,1,Vs: behlmte Büste n. r. CONSTAN-TIN[   ]SMIIXA[ ]. Rs: Zwei Viktorien halten Schild über Altar. VIVTORI[   ]. Im Schilde ?OT/P?-,Nobilitas n. l.,2.0,2.0,5.0,1.0,...CO - NS...
afe:261,gaz:2044775,nm:av,nm:antiocheia_syria,nm:drachma,S/F//ARLS,?,1.92,21.4,21.16,1,6.0,1,1,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",VICTORIAAVG(G?)?,5.0,5.0,3.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:262,gaz:2048655,nm:ae,nm:heracleia_thracica,nm:quarter-stater,XI__,?,2.15,21.0,21.12,1,4.0,1,1,[  ]-FAV[  ]. Kopf n. r.,XCDIIVS DNI T(?)DC (0) SII,2.0,2.0,3.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:263,gaz:2044319,nm:ae,nm:thessalonica,nm:antoninianus,-/-//SMKZ,TIA_V,21.24,17.7,20.9,1,4.0,1,1,Bruchstück der Rev.(?)-Legende: ... SPMT ...,Aequitas(?),4.0,2.0,3.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:264,gaz:2044675,nm:ae,nm:tripolis_phoenicia,nm:roman_medallion,-/-//MDPS,CAESAR,17.7,21.91,21.25,1,5.0,1,1,Punzen,"COS V PP SPQR OPTIMO PRINC, Minerva sitzend",3.0,3.0,2.0,5.0,...CO - NS...
afe:265,gaz:2044769,nm:av,nm:cyzicus,nm:semis,-/-//MKV,CAESAR,8.1,28.6,19.0,1,6.0,1,1,[M] ANTONINVS AVG TR P XXIII.,steh. weibl. Figur n. l.,2.0,1.0,2.0,5.0,...CO - NS...
afe:266,gaz:2044318,nm:av,nm:arelate,nm:aureus,(* on D)/S//DeltaSISC,TIA_V,7.28,16.2,21.16,1,6.0,1,1,Obv. in einem ^Klumpen^ eingebacken,Stern mit acht Strahlen| CAEVS JVLIVS,2.0,1.0,5.0,1.0,...CO - NS...
afe:267,gaz:2049929,nm:billon,nm:tarraco,nm:quadrans,-/-//XI,?,3.4,22.0,21.31,1,1.0,1,1,Büste der Faustina I. oder II. r.,[IV]NONI R[EGINAE].,1.0,5.0,4.0,2.0,...CO - NS...
afe:268,gaz:2050236,nm:ar,nm:berytus,nm:ae1,-/-//CONSA,CAESAR,4.43,14.9,27.0,1,6.0,1,1,Kopf n. r. [. ]NTONINVS.,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",4.0,5.0,1.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:269,gaz:2044947,nm:av,nm:laodiceia_ad_mare,nm:denarius,SM(H/K/N)[ ],?,6.62,22.1,27.0,1,1.0,1,1,,steh. weibl. Gestalt m. erhob. R. u. Zepter.,1.0,5.0,2.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:270,gaz:2048980,nm:av,nm:heracleia_thracica,nm:sestertius,-/-//R(Zeichen)(Gamma),Vs.: Kranz,19.99,21.0,15.3,1,8.0,1,1,DIVUS ANTONINVS.,Fortuna Redux,5.0,4.0,2.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:271,gaz:2044318,nm:billon,nm:heracleia_thracica,nm:drachma,-/-//?,TIA_V,2.44,18.7,23.0,1,7.0,1,1,AVRELIVS CAESAR AVG P II [F].,Verschränkte Hände.,3.0,2.0,1.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:272,gaz:2052777,nm:ae,nm:commagene,nm:drachma,-/-//SMNA,SE (Wertz 168.2),9.45,23.0,20.5,1,6.0,1,1,NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,VICTORIAAVG(G?)?,5.0,2.0,2.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:273,gaz:2044341,nm:billon,nm:constantinople,nm:sestertius,S/F//CSIS*,Vs.: Kranz,9.72,21.25,20.5,1,8.0,1,1,Kopf r. mit Lorbeerkranz? Rev. in einem ^Klumpen^ eingebacken.,MTAC COS III SAI AVG,3.0,5.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:274,gaz:2117972,nm:ae,nm:narbo,nm:double-sestertius,-/-//COHO·,TIA_V,2.4,21.31,35.0,1,6.0,1,1,mit Ägis.,"stark abgenutzter Stempel, flaue Prägung.",5.0,3.0,3.0,4.0,...CO - NS...
afe:275,gaz:2049594,nm:billon,nm:thessalonica,nm:ae2,M/D//COM,Vs.: Kranz,2.24,28.84,21.43,1,1.0,1,1,[   ]ON III VSAVC FIVSPPTIIOY,[AVGVSTA].,3.0,4.0,4.0,1.0,...CO - NS...
afe:276,gaz:2050243,nm:billon,nm:arelate,nm:ae3,-/-//COM,SE (Wertz 168.2),7.32,24.1,21.86,1,12.0,1,1,drapierte Büste.,Pontifikalgeräte.,1.0,5.0,5.0,4.0,...CO - NS...
afe:277,gaz:2049740,nm:ar,nm:colonia_claudia_ara_agrippinensium,nm:ae3,R/M//COMOB,CAESAR,0.27,21.59,19.0,1,6.0,1,1,Legendenbruchstück ...IVS ... erkennbar,[  ]AXIME[  ].,2.0,5.0,4.0,5.0,...CO - NS...
afe:278,gaz:2426301,nm:av,nm:emerita,nm:denarius,-/*//COMOB,?,21.24,18.4,14.0,1,6.0,1,1,Rev. in einem ^Klumpen^ eingebacken,[AVGVSTA].,0.0,5.0,5.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:279,gaz:2044339,nm:ar,nm:narbo,nm:quadrans,-/-//CONOB,TIA_V,3.1,16.3,15.3,1,6.0,1,1,Büste n. r. mit Strkr.,,4.0,5.0,4.0,4.0,...CO - NS...
afe:280,gaz:2049645,nm:ar,nm:sirmium,nm:ae1,-/-//PLG,TIA_V,16.76,17.7,21.59,1,1.0,1,1,DIVA FAVSTINA PIA.,"Reiter n. l., davor vierspeichiges Rad",2.0,0.0,1.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:281,gaz:2044319,nm:ar,nm:ostia,nm:aureus,-/-/CONOB,CAESAR,2.74,32.3,21.36,1,2.0,1,1,IAVSTNA AVCVITA,DAIVS AVCVSTI,2.0,1.0,1.0,2.0,...CO - NS...
afe:282,gaz:2049906,nm:billon,nm:tripolis_phoenicia,nm:ae1,-/-//V *,CAESAR,3.33,17.7,21.36,1,1.0,1,1,IMPMIVL[  ] ?,"Fecunditas, drapiert, steht nach links zwischen zwei Kindern, die sich nach oben strecken, und hält zwei Säuglinge in ihren Armen. UITIOAVA[ ]VF(spiegelverkehrt)IIOC(spiegelverkehrt)IIX.",2.0,0.0,3.0,2.0,...CO - NS...
afe:283,gaz:2048846,nm:ae,nm:mediolanum,nm:sestertius,__IV,TIA_V,0.13,28.1,21.4,1,2.0,1,1,Büste n. r. [. ]VAFAV[.  ],V.: [   ]RVS-P[   ].,1.0,3.0,5.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:284,gaz:2049750,nm:ae,nm:constantinople,nm:as,-/-/COMOB,?,12.47,28.1,20.0,1,6.0,1,1,"Kopf n. r. [  ]VESP[  ] oberhalb des Kopfes, gegen den Uhrzeigersinn.",sitz. Gestalt n. l. [    ]CO[SV...].,5.0,3.0,1.0,3.0,...CO - NS...
afe:285,gaz:2050006,nm:av,nm:lugdunum,nm:antoninianus,-/-//MDPS,CAESAR,2.41,1.6,15.3,1,5.0,1,1,HADRIANVS-AVGCOSIIIPP.,VICTORIAAVG(G?)?,4.0,2.0,1.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:286,gaz:2048980,nm:ae,nm:cyzicus,nm:sestertius,-/-//X,Vs.: Kranz,16.99,18.7,20.5,1,4.0,1,1,ANTONINVS AVG PIVS P P TR P. Kopf n. r. m. Lrbkr.,VICTORIAAVG(G?)?,5.0,4.0,2.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:287,gaz:2049906,nm:av,nm:treveri,nm:double-sestertius,-/-//RT,TIA_V,7.33,14.9,21.49,1,5.0,1,1,DN [?] IVII-TIVIII II VC,Punkt über Lilie.,1.0,1.0,5.0,3.0,...CO - NS...
afe:288,gaz:2044912,nm:billon,nm:colonia_patricia,nm:stater,-/-//N,TIA_V,3.03,22.05,21.59,1,8.0,1,1,in einem ^Klumpen^ eingebacken.,Nobilitas n. l.,3.0,1.0,3.0,4.0,...CO - NS...
afe:289,gaz:2044341,nm:ae,nm:emerita,nm:double-sestertius,[ ]SIRM,TIA_V,14.62,24.6,20.5,1,7.0,1,1,AIITONI - NVS DIVS PPIPPXII III.,NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,5.0,1.0,3.0,3.0,...CO - NS...
afe:290,gaz:2044750,nm:ae,nm:constantinople,nm:follis,-/-//N,SE (Wertz 168.2),2.27,19.6,21.13,1,2.0,1,1,"Kopf n. r. [  ]VESP[  ] oberhalb des Kopfes, gegen den Uhrzeigersinn.",NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,2.0,2.0,3.0,2.0,...CO - NS...
afe:291,gaz:2048597,nm:billon,nm:ticinum,nm:roman_medallion,-/Delta//-,?,6.46,21.4,14.0,1,8.0,1,1,m. Ägis.,VOTA SOLV[     ].,1.0,2.0,4.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:292,gaz:2044750,nm:av,nm:viminacium,nm:aureus,-/*//TRP,?,1.99,15.0,21.36,1,6.0,1,1,DNVALENS-[   ].,(Rezent?) geritzt auf Vs. und Rs.,4.0,0.0,4.0,3.0,...CO - NS...
afe:293,gaz:2315108,nm:av,nm:emerita,nm:siliqua,?/-//.SIS.,CAESAR,5.35,21.55,20.0,1,7.0,1,1,mit Ägis.,Fides n. l. zwischen zwei Feldzeichen| P M TR P XVIII COS IIII P P,0.0,1.0,2.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
